userid,timestamp,username,tweet
1467812025,2009-04-07T06:20:09.000+01:00,mimismo,que me muera
1468032862,2009-04-07T07:21:35.000+01:00,lamarmcarter,happy for coach stringer hof co now if i can only finish my term paper on her
1468043104,2009-04-07T07:24:53.000+01:00,Geoffasaurus,keeeerrrrriiiiii i really have nothing better to do then post on this thing at amwonderfullll says alot
1468078493,2009-04-07T07:35:44.000+01:00,kennyduduxd,cant sleep dam naps lol and its hot
1468242583,2009-04-07T08:30:07.000+01:00,Tsukihysteria,thank you for being a great character on house im sad to see you go
1468282327,2009-04-07T08:43:55.000+01:00,psychosnoopy,i wanna come with them to bohol
1468305031,2009-04-07T08:51:51.000+01:00,maraem,o have too much on my mind and is trying to write it all down so maybe i can get some sleep before classits not really working
1468310979,2009-04-07T08:54:02.000+01:00,CharlT88,off to the drs its too early
1468313503,2009-04-07T08:54:56.000+01:00,sethjeffery,landed funny on my foot this morning while jumping down the stairs and i twisted it quite sore now
1468346377,2009-04-07T09:06:39.000+01:00,shootingstar145,id like to know why i never sleep
1468377846,2009-04-07T09:18:05.000+01:00,RoseStack,haha i know eh but im thinking about vet science at sydney uni cept that the guy wasnt there last night he was in hostpital
1468390757,2009-04-07T09:22:48.000+01:00,shazzt,hey you didnt tell me you had one of those jealous
1468470731,2009-04-07T09:52:13.000+01:00,mortensax,so true i love frienfeed but there are so many cool apps out there that delivers value and so little time
1468480285,2009-04-07T09:55:52.000+01:00,Ic1ngsugar,it still wont let me log in i know my users thier cos anth sent me a friend request
1468644653,2009-04-07T10:55:27.000+01:00,hexigon,aw what did the poor donkeys ever to do to you
1468785472,2009-04-07T11:43:30.000+01:00,markhulsmeier,just watched digital spy awards diana vickers could have won one
1468794978,2009-04-07T11:46:27.000+01:00,ABBAlove,trying to sort out my spazed out hair
1468801452,2009-04-07T11:48:32.000+01:00,Ciella_H,why are you deleting your facebook account
1468911251,2009-04-07T12:21:59.000+01:00,The_Bev,ugh i didnt really finish my cs i turned it in as is i will be able to do better now though less distractions lol
1468950880,2009-04-07T12:33:14.000+01:00,DarlingNycki,i really wish i could see yall tonight but i live in lansing so i had no way of entering in the contest sigh
1468972349,2009-04-07T12:39:18.000+01:00,Teayam,my face again i miss this hair
1468999194,2009-04-07T12:46:38.000+01:00,fuzzone,but twitter seems to be taking up my email time at the moment
1469006624,2009-04-07T12:48:35.000+01:00,JimserM,i coach too forced into retirement a good few years ago due to injury you coach in the us
1469242464,2009-04-07T13:44:04.000+01:00,claraofcali,i havent slept boo i wish it snowed here
1469312212,2009-04-07T13:58:46.000+01:00,thewattsy,time to sleep to much research makes me sleepy and wanting to travel again sooner
1469334536,2009-04-07T14:03:05.000+01:00,kellyissanti,sabrinas not here im so bored
1469337609,2009-04-07T14:03:41.000+01:00,lene87,is as work
1469389950,2009-04-07T14:13:53.000+01:00,karisjayne,haha i already did im such a bad student
1469390291,2009-04-07T14:13:57.000+01:00,EvilJuJu,facebook is being a tard i cant get a hold of my cousin and dont want to go out alone cause thats no fun
1469504897,2009-04-07T14:35:05.000+01:00,CarolineFW,argh not again though its better than waterloo current song being played by my head dj
1469634001,2009-04-07T14:58:05.000+01:00,Oscar_BP,they said i aint ready yet is just asthma but they beign cautious
1469692222,2009-04-07T15:08:18.000+01:00,butterfield84,while we are on the rain subject i fuckin hate this rain i need to do a soil test and cant with this damn weather
1469696487,2009-04-07T15:09:04.000+01:00,hwarnecke,meeting today then possibly headed home to sleep off this terrible stomach ache
1469784988,2009-04-07T15:24:44.000+01:00,NicholeMMunger,i hate having to go to specific stores to buy booze especially because theyre few and far between with shitty hours
1469900003,2009-04-07T15:45:08.000+01:00,circus12208,i think im gettin a cold
1469926132,2009-04-07T15:49:57.000+01:00,Koding,this day is going from bad to worsei broke my shoe this morning its windy and freezing cold out and i still have to take a de test
1470100185,2009-04-07T16:20:52.000+01:00,semipenguin,coffee amp cigarettes blah
1470145623,2009-04-07T16:29:04.000+01:00,fakelindsay,i watched man vs food for like hours the other day
1470181457,2009-04-07T16:35:25.000+01:00,xcinderHELLa,looooooooooong day but home and chillaxin with my shane now
1470237703,2009-04-07T16:45:31.000+01:00,helloangel_xo,i miss your posts dude xo
1548581333,2009-04-18T05:21:32.000+01:00,BCYoung,end of the night and work week wahoo long day tomorrow family stuff and volunteering at local pbs tv action aution its wine day
1548642927,2009-04-18T05:32:15.000+01:00,sweet_pippi2000,sitting here with tears down my face dont wanna go to work on sunday going to miss my mom
1548720113,2009-04-18T05:45:57.000+01:00,ptkeens,damn we are signed up for the banjo amp fiddle competition and our fiddle player cant make it
1548831219,2009-04-18T06:06:20.000+01:00,AMonthOldDrums,i wish i could go to the jazz festival this weekend
1550757690,2009-04-18T15:10:43.000+01:00,SweetBre,everyone is talking about britneys concerts i want to go
1550785131,2009-04-18T15:15:47.000+01:00,Monsta_Fuzzball,uhoh daddy is trying to hamper mommys plans to get me a kitteh pal to play with
1550906173,2009-04-18T15:35:55.000+01:00,annaling,omg you were so the person that caused the whole of the m to come to a standstill today sorry bout the car btw
1551049461,2009-04-18T16:00:34.000+01:00,connico479,kat have a good vacation personally st year on a new jobzero vacation days hide the damn alarm clock tomorrow
1551206286,2009-04-18T16:25:55.000+01:00,Blamefulgecko,lol i did read it of course i just wanted to be a secret agentsigh you tread on my dreams as yeats would say ouch
1551230806,2009-04-18T16:29:55.000+01:00,Daniedisaster,is at home all day
1551234208,2009-04-18T16:30:26.000+01:00,PBB72,is fed up being on her ownmust be more to life than this shite
1551521953,2009-04-18T17:16:41.000+01:00,ashleyoc22,studying for finals good ol stock valuation options amp futures and duration management its gonna be a long day
1551553642,2009-04-18T17:21:40.000+01:00,davidvb,ordered the new imac with ati videocard upgrade could take to weeks to arrive they say jeez
1551638401,2009-04-18T17:35:03.000+01:00,camillelegaspi,boot camp was an epic failure
1551711727,2009-04-18T17:46:39.000+01:00,big_perm8,my sister and the kids left this morning
1551867988,2009-04-18T18:10:47.000+01:00,jakeowen,fluffy white rabbit beat me up
1552005772,2009-04-18T18:32:23.000+01:00,roseyrose88,paper is done goin to workout with anne for a bit text feel better jude
1552026312,2009-04-18T18:35:37.000+01:00,NEWall476,at work todaymissing the nice weather
1552063217,2009-04-18T18:41:27.000+01:00,AnnetteStatus,i paid last time lolwell maybe ill ask dad for a few bucks to help out haha
1553105147,2009-04-18T21:23:13.000+01:00,Tweet4Labour,have a sneaking suspicion that the sundays will be dire
1553108571,2009-04-18T21:23:44.000+01:00,jprestonian,i was hoping there was video on the website but no
1553142991,2009-04-18T21:29:10.000+01:00,tinytink06,my throat hurts stupid weather
1553176263,2009-04-18T21:34:18.000+01:00,annieweasley,couldnt get into a record store
1553177461,2009-04-18T21:34:30.000+01:00,jennifer_gould,and bfast always adores smreally glad its included on the tour every likes playing here yrs ago nobody played here
1553203822,2009-04-18T21:38:40.000+01:00,nackles,how pathetic am i listening to quotwouldnt it be nicequot by the beach boys and crying i hate my life today
1553242399,2009-04-18T21:44:48.000+01:00,hello_jodie,everyday that there is someone new who meets a twilight cast member in vancouver i kick myself for deciding not to go
1553264085,2009-04-18T21:48:15.000+01:00,angx,i wish they fit maybe i can just stuff thema lot
1553327041,2009-04-18T21:58:18.000+01:00,jesssicababesss,do you think he entred mampg he aint beeenn on in ages
1553328926,2009-04-18T21:58:35.000+01:00,Roxie009,that wasnt very nice of them they could have told you it wouldnt have been to difficult or impolite how are you
1553462132,2009-04-18T22:19:55.000+01:00,EthanWK,yeah just dont think my date would so much approve
1553546812,2009-04-18T22:33:37.000+01:00,ShaniILaLuv,nice seeing you last night doll i wish it was still everyday
1553606264,2009-04-18T22:43:17.000+01:00,RosieAldam,i want starbucks
1553703774,2009-04-18T22:59:14.000+01:00,downtheroad,damn you noah wyle and your depressing polar bear commercial
1553920311,2009-04-18T23:34:27.000+01:00,deviant83,oh my eye my knee is well and truely knackered i cant even sleep its that sore need deep freeze it was worth it though
1553941388,2009-04-18T23:37:58.000+01:00,Jillibean0306,uncrash my car
1554041415,2009-04-18T23:54:30.000+01:00,angieesays,my camera is not working holy eeeffff
1554097696,2009-04-19T00:03:41.000+01:00,NikiaOn1035,i got the text but the pic didnt go thru
1554107963,2009-04-19T00:05:22.000+01:00,kammer,should have gone for a cinema voucher we bought him a lego set and it turns out he already has it
1554453148,2009-04-19T01:02:12.000+01:00,jeepz,i just broke the present i was going to give my daughter for her bday
1554457359,2009-04-19T01:02:55.000+01:00,CaraValliere,is sad its raining out
1554457687,2009-04-19T01:02:56.000+01:00,Luton13,actually is was an game unbeaten streak i dont think i can keep them up
1554487138,2009-04-19T01:07:46.000+01:00,gcohen,i think this is a song but if not im sorry hope you feel better lol
1555758826,2009-04-19T04:36:45.000+01:00,christenfaith,im exhausted and about to take a sleeping pill
1555896864,2009-04-19T05:00:48.000+01:00,missbeng,have no twitter followers
1555931876,2009-04-19T05:06:59.000+01:00,MelissaRose25,just watched seven pounds cried soooooo much
1555981044,2009-04-19T05:16:03.000+01:00,MariaStarship,dude should i stop wearing hoodies amp poorr animals get toturedi dont like it
1556058077,2009-04-19T05:30:42.000+01:00,gi_gi_bee,""
1556108912,2009-04-19T05:40:30.000+01:00,Watrfrnt,is it over yet i dozed off
1556157839,2009-04-19T05:50:16.000+01:00,dmcclung,oh really how could i ever think that
1556164933,2009-04-19T05:51:38.000+01:00,JoanneKim528,is packing her bags dont want to leave
1556394413,2009-04-19T06:40:11.000+01:00,Rakanakle,checked out the new arcade in temecula it sucks no house of the dead or street fighter
1556395001,2009-04-19T06:40:19.000+01:00,flawlessx,headache
1556440005,2009-04-19T06:50:47.000+01:00,aravain,i wore my cuddle shirt and got no cuddles
1556504298,2009-04-19T07:05:53.000+01:00,Obleu,too bad im sick cant enjoy the killers like i wanna
1556528427,2009-04-19T07:11:56.000+01:00,blessyoursoul,hearing bling live now just makes me miss the sams town tour so much more
1556548265,2009-04-19T07:16:49.000+01:00,imjustdifrent,pulled out the couch did not get near enough pizza and dad has the thermostat in the mideighties with no sign of turning it down
1556568013,2009-04-19T07:21:56.000+01:00,weapons_wired,they were
1556623593,2009-04-19T07:36:29.000+01:00,AmiraLoveJonas1,april foollsss hehe its not aprill follyyy timee
1556682211,2009-04-19T07:51:35.000+01:00,kittybumpers,i hate it that its raining over here hard to go out what to do what to do any suggestions
1556755899,2009-04-19T08:11:38.000+01:00,tignos,hot hot hot again
1556834863,2009-04-19T08:34:44.000+01:00,madsdeguzman,went to uniqlo and its more expensive here than hk
1556835067,2009-04-19T08:34:48.000+01:00,ShaihuludWorm,i shall be sad to leave my uncles cats though inshaallah they are both so cute
1556882290,2009-04-19T08:49:15.000+01:00,mamadero,catching up with fb email but i cant catch up with twitter
1556946341,2009-04-19T09:09:37.000+01:00,crazycradz,loved being up on stage at gsl and meeting jb and suzi p what an awesome show shame i lost to a year old girl
1556963522,2009-04-19T09:15:12.000+01:00,Kim0705,hey katy when are you going to philippines
1556996320,2009-04-19T09:26:17.000+01:00,luuloo,bl dwam o maly moood
1557077841,2009-04-19T09:53:27.000+01:00,tapas_tnnng,temp deg c expected to hit on wednesday around by the end of may im gonna have a horrible time here
1557145838,2009-04-19T10:16:31.000+01:00,LittlestarRed,you do realise all this talk about the cruise and summer tour being so great is making us fans in europe sad xx
1557169587,2009-04-19T10:25:25.000+01:00,black_jaguar,holy shit i wanna prisonbreak new episode
1557251210,2009-04-19T10:56:04.000+01:00,seximamanikki,i miss my bed
1557281498,2009-04-19T11:07:30.000+01:00,anthonylewry,damn me livin here in sydmiss out on funkysexy festivals but i do get to be sexyall the time here
1557311979,2009-04-19T11:19:19.000+01:00,fredrikamartin,morning tweeters off back to sheff today gonna miss everyone
1557330024,2009-04-19T11:26:25.000+01:00,mathys,no they dont reply
1557383003,2009-04-19T11:46:34.000+01:00,EwanGriff,doing my history coursework how fun
1557387159,2009-04-19T11:48:08.000+01:00,LauraStacey,back twittering on ur requestah i see what you ment now things certainly arent going welli hope things get better for everyone
1557439651,2009-04-19T12:07:26.000+01:00,caitymay,other peoples messages tell me that its sunny but its so hazy in the centre that the sky looks grey
1557522325,2009-04-19T12:37:15.000+01:00,bethasaurr,going for a look round the shops with my mum today i want clothes and i wish my hair would bloody grow already
1557536024,2009-04-19T12:42:03.000+01:00,BomBonAsesino1,feelin a little sick this morning
1557596965,2009-04-19T13:02:20.000+01:00,snxy,tydis guest mix is nt in the trancenl link
1557675494,2009-04-19T13:27:22.000+01:00,tropicalsplash,yum fishermans wharf now im craving for oysters
1557763800,2009-04-19T13:53:39.000+01:00,bex1210,writing my essay staying put until ive written at least words
1557819886,2009-04-19T14:08:51.000+01:00,GoodJobDad,finally getting over thw stomach fluive been down since friday night
1557920810,2009-04-19T14:34:45.000+01:00,lygd,super mega bored sunday when there is no prospect of yum food you really suck
1558069614,2009-04-19T15:09:11.000+01:00,mirantsoa,i cant watch spongebob
1558142996,2009-04-19T15:24:53.000+01:00,ALEGEND,tried to get the quotkill billquot song stuck in s head and failed woe is me
1558288749,2009-04-19T15:54:27.000+01:00,ashlazarus,i wish cory lived in new york miss him terribly
1558335188,2009-04-19T16:03:07.000+01:00,alexandramarieb,back in chiiiiitown
1558389613,2009-04-19T16:13:26.000+01:00,carrie127,gah why does he have to go away for a week
1558449034,2009-04-19T16:24:36.000+01:00,ryanmartin_,i seriously need to revise for admin tonight then i need to organise these boxes full of school shit
1558704363,2009-04-19T17:09:52.000+01:00,johannasfor,i reallly want an iphone
1558704996,2009-04-19T17:09:58.000+01:00,ur_lullaby,was los
1558782482,2009-04-19T17:23:15.000+01:00,siddhantgoel,firefox is sooooo slow on linux
1558815690,2009-04-19T17:28:50.000+01:00,catharinamcfly,next time you will definitely be there with me for sure and i wrote it on my card bcause i spilled coffee over my banner
1558824707,2009-04-19T17:30:19.000+01:00,ClareSawicki,thought i was off work at noon very wrong hate that
1558875728,2009-04-19T17:38:48.000+01:00,cathydavidphoto,is really sad that i somehow broke my keyboard music last night when i dropped it learning to play piano i am so clumsy
1559028814,2009-04-19T18:03:51.000+01:00,redguitarfreak,dude i did not happen to see any ears afterwords i know that ryan left his mic there but he retrieved it i sorry
1559063605,2009-04-19T18:09:32.000+01:00,jackiecoffin,so now i have a hurt wrist and im wicked sick
1559189654,2009-04-19T18:29:53.000+01:00,SenorGrizzle,back to school exams and the like
1559283827,2009-04-19T18:44:22.000+01:00,superallyn,laundry is did now grocery shopping i lead such an exciting life good thing riding my bike keeps me from blowing my head off
1559317964,2009-04-19T18:49:35.000+01:00,vivalafran,wtf i was actually thinking about buying some tickets a couple of weeks ago but i didnt know if anyone else wanted to go
1559420270,2009-04-19T19:05:34.000+01:00,Ronilyn08,i have an rash on the right side of my tummy it itched i scratched now it hurts
1559481327,2009-04-19T19:15:16.000+01:00,l_bby_74,not a fan of the new black eyed peas videoa little to weird for me
1559677449,2009-04-19T19:46:03.000+01:00,dany_93,probably going outside i dont want to i dont feel that great
1559972786,2009-04-19T20:31:14.000+01:00,ashlydefebo,i hate springshowers_____rainrain go away
1562361815,2009-04-20T03:48:13.000+01:00,breaellis,i keep missing the first part of the ladies detective agency
